MovieId,UserId,Rating,Date
1,1488844,3,2005-09-06
1,822109,5,2005-05-13
1,885013,4,2005-10-19
1,30878,4,2005-12-26
1,823519,3,2004-05-03
1,893988,3,2005-11-17
1,124105,4,2004-08-05
1,1248029,3,2004-04-22
1,1842128,4,2004-05-09
1,2238063,3,2005-05-11
1,1503895,4,2005-05-19
1,2207774,5,2005-06-06
1,2590061,3,2004-08-12
1,2442,3,2004-04-14
1,543865,4,2004-05-28
1,1209119,4,2004-03-23
1,804919,4,2004-06-10
1,1086807,3,2004-12-28
1,1711859,4,2005-05-08
1,372233,5,2005-11-23
1,1080361,3,2005-03-28
1,1245640,3,2005-12-19
1,558634,4,2004-12-14
1,2165002,4,2004-04-06
1,1181550,3,2004-02-01
1,1227322,4,2004-02-06
1,427928,4,2004-02-26
1,814701,5,2005-09-29
1,808731,4,2005-10-31
1,662870,5,2005-08-24
1,337541,5,2005-03-23
1,786312,3,2004-11-16
1,1133214,4,2004-03-07
1,1537427,4,2004-03-29
1,1209954,5,2005-05-09
1,2381599,3,2005-09-12
1,525356,2,2004-07-11
1,1910569,4,2004-04-12
1,2263586,4,2004-08-20
1,2421815,2,2004-02-26
1,1009622,1,2005-01-19
1,1481961,2,2005-05-24
1,401047,4,2005-06-03
1,2179073,3,2004-08-29
1,1434636,3,2004-05-01
1,93986,5,2005-10-06
1,1308744,5,2005-10-29
1,2647871,4,2005-12-30
1,1905581,5,2005-08-16
1,2508819,3,2004-05-18

